Pos,Pos_unc,HalfWidth,HalfWidth_unc,Width,Width_unc
133.661088,0.000469,14.989928,0.000929,29.979856,0.001858
288.576028,0.000463,14.848829,0.000928,29.697658,0.001856
443.666829,0.000577,11.226691,0.001204,22.453382,0.002408
561.573289,0.00055,10.529473,0.001057,21.058946,0.002114
718.718622,0.000471,15.066827,0.000928,30.133654,0.001856
875.725851,0.00049,15.92176,0.000898,31.84352,0.001796
