Channel,Counts
638,303413
639,303628
640,302809
641,303327
642,303665
643,303331
644,303560
645,302473
646,303747
647,303020
648,302886
649,303375
650,303604
651,303513
652,302742
653,302919
654,302277
655,304323
656,303995
657,303182
658,302893
659,303631
660,303281
661,303232
662,301735
663,302681
664,303418
665,302813
666,303585
667,302553
668,302858
669,303370
670,303414
671,303021
672,302884
673,301517
674,303169
675,302465
676,302602
677,303369
678,304021
679,303304
680,303218
681,303394
682,302572
683,302528
684,303181
685,302497
686,302882
687,303106
688,302789
689,302667
690,302783
691,303741
692,302021
693,303044
694,303250
695,302514
696,303289
697,303445
698,303321
699,303126
700,303377
701,303285
702,303301
703,302732
704,302637
705,303354
706,303361
707,302674
708,302385
709,302522
710,302776
711,302716
712,302829
713,301756
714,302655
715,302878
716,302642
717,303223
718,303219
719,303202
720,302578
721,302472
722,303218
723,303289
724,302075
725,302418
726,303052
727,303290
728,302829
729,302732
730,302318
731,303319
732,302623
733,302742
734,303346
735,302678
736,303103
737,302657
738,302049
739,302894
740,302757
741,302576
742,301395
743,302442
744,302784
745,302434
746,303763
747,302665
748,302750
749,302427
750,303598
751,302772
752,302964
753,302654
754,301859
755,302402
756,303378
757,303652
758,302875
759,302691
760,302545
761,301417
762,302811
763,303441
764,303064
765,302220
766,301805
767,302277
768,302785
769,303188
770,301905
771,303227
772,303627
773,302651
774,303099
775,301786
776,303351
777,301378
778,302625
779,302199
780,302803
781,303439
782,301954
783,301700
784,301941
785,302290
786,302013
787,302590
788,302296
789,301992
790,301410
791,302047
792,302851
793,302880
794,301718
795,302657
796,303079
797,303138
798,302122
799,303125
800,302208
801,302001
802,303331
803,302938
804,302203
805,302013
806,301775
807,302402
808,302454
809,302522
810,302047
811,301641
812,302635
813,301337
814,302445
815,302259
816,301696
817,301412
818,301969
819,302413
820,302092
821,302688
822,302037
823,301482
824,302551
825,301586
826,302494
827,301194
828,302053
829,302329
830,302395
831,301875
832,302553
833,302151
834,301402
835,301853
836,301766
837,301745
838,302771
839,301297
840,302442
841,301221
842,302255
843,301288
844,301617
845,301138
846,302352
847,302204
848,302155
849,301887
850,301637
851,300854
852,301730
853,301918
854,301976
855,300894
856,301279
857,301902
858,301455
859,302100
860,300328
861,302114
862,302205
863,301713
864,301817
865,301137
866,301420
867,302573
868,300909
869,301621
870,301934
871,301780
872,302260
873,300721
874,301580
875,300954
876,300959
877,300713
878,300846
879,301748
880,301744
881,302047
882,300649
883,301452
884,301727
885,300855
886,302657
887,301134
888,300737
889,301380
890,301100
891,301611
892,301870
893,301200
894,301057
895,301020
896,301613
897,301041
898,300929
899,300656
900,301668
901,300837
902,300609
903,300834
904,301319
905,300899
906,301339
907,300984
908,300955
909,301187
910,301493
911,301302
912,301246
913,301096
914,300885
915,300588
916,302124
917,300964
918,301068
919,301613
920,301547
921,300646
922,300888
923,301619
924,300988
925,300726
926,301456
927,301058
928,301338
929,300569
930,300719
931,300873
932,300561
933,300217
934,301352
935,300198
936,300582
937,300029
938,300235
939,301027
940,301177
941,301067
942,300564
943,301263
944,300664
945,300582
946,300927
947,300778
948,300570
949,299628
950,300588
951,301113
952,300693
953,300407
954,300149
955,300400
956,300691
957,300365
958,300076
959,300416
960,300449
961,301593
962,300864
963,299998
964,300317
965,300600
966,300644
967,300571
968,300254
969,301288
970,299965
971,300598
972,300575
973,300322
974,300549
975,300178
976,300424
977,300252
978,300318
979,300346
980,300192
981,300598
982,299181
983,300625
984,299304
985,299346
986,300230
987,299945
988,298968
989,299410
990,298838
991,300029
992,300249
993,300025
994,300262
995,300318
996,300082
997,300415
998,300507
999,299598
1000,300027
1001,299528
1002,300175
1003,299623
1004,299662
1005,299405
1006,299224
1007,298940
1008,300166
1009,299797
1010,300092
1011,299648
1012,298621
1013,298188
1014,299613
1015,298914
1016,298460
1017,298781
1018,300137
1019,300267
1020,300101
1021,300127
1022,299760
1023,299645
