Channel,Counts
638,803352
639,803797
640,807338
641,805295
642,804412
643,806992
644,806190
645,807697
646,807245
647,808786
648,807874
649,809154
650,809520
651,810584
652,810104
653,809669
654,810905
655,810937
656,811491
657,811004
658,809599
659,810494
660,811909
661,812207
662,812131
663,811909
664,813286
665,813515
666,812568
667,813856
668,814426
669,813561
670,814919
671,813900
672,813375
673,814918
674,815544
675,815631
676,814838
677,816234
678,814501
679,814685
680,814854
681,816101
682,815191
683,816343
684,817663
685,816529
686,816234
687,816865
688,815310
689,817007
690,816611
691,814844
692,815842
693,816418
694,816373
695,816361
696,818626
697,817396
698,816933
699,816490
700,816109
701,817409
702,818368
703,818234
704,816899
705,818227
706,818373
707,817934
708,818047
709,818524
710,818402
711,819059
712,820375
713,817722
714,817904
715,818204
716,818280
717,818979
718,819149
719,818920
720,819664
721,819370
722,819935
723,818923
724,818965
725,819508
726,819867
727,819675
728,819713
729,818896
730,820790
731,820361
732,819255
733,820607
734,817338
735,818877
736,819840
737,819818
738,821534
739,820867
740,821796
741,819839
742,819787
743,819071
744,820585
745,819901
746,818960
747,819202
748,821389
749,819516
750,820721
751,820423
752,820535
753,820524
754,819340
755,821211
756,820065
757,821544
758,820476
759,819668
760,819880
761,820796
762,820786
763,821312
764,819788
765,820122
766,820476
767,820749
768,819737
769,821365
770,821031
771,819707
772,821517
773,819880
774,822459
775,821827
776,821611
777,822303
778,819475
779,821603
780,822493
781,820090
782,819452
783,821036
784,820816
785,818989
786,821346
787,821636
788,822507
789,819691
790,820544
791,822804
792,821184
793,821382
794,820975
795,821820
796,821096
797,820417
798,821701
799,819892
800,821097
801,818880
802,820468
803,819298
804,820617
805,820180
806,820700
807,819152
808,821137
809,821697
810,819614
811,820964
812,820373
813,820048
814,819838
815,820145
816,820978
817,820945
818,820102
819,821000
820,819947
821,819673
822,820891
823,819900
824,821300
825,820953
826,818862
827,820127
828,819727
829,819701
830,818312
831,819989
832,819735
833,820359
834,820957
835,821111
836,820556
837,819532
838,821332
839,820759
840,819312
841,821662
842,819318
843,820257
844,820312
845,820597
846,822441
847,818879
848,819853
849,819098
850,818574
851,818887
852,821238
853,820711
854,819452
855,817795
856,820247
857,820499
858,819044
859,820355
860,818047
861,819094
862,818452
863,819323
864,819831
865,819626
866,818976
867,818415
868,820289
869,818811
870,820027
871,819454
872,819393
873,818861
874,820271
875,819029
876,817557
877,817614
878,819355
879,819390
880,817687
881,818926
882,818288
883,819156
884,819727
885,818716
886,818810
887,816776
888,819659
889,817723
890,819334
891,818679
892,819847
893,818616
894,818025
895,818119
896,818936
897,818478
898,818414
899,818195
900,819357
901,818794
902,819644
903,818956
904,819900
905,819531
906,816714
907,818716
908,819370
909,818633
910,818968
911,819319
912,816978
913,818133
914,817807
915,817612
916,820108
917,819454
918,819369
919,819715
920,820234
921,818731
922,820432
923,818758
924,817878
925,819639
926,820524
927,818814
928,818888
929,817946
930,819165
931,819183
932,818448
933,819735
934,817972
935,817334
936,819241
937,819881
938,819447
939,819800
940,818910
941,819306
942,820030
943,818285
944,819854
945,818118
946,820042
947,817808
948,818311
949,820120
950,818579
951,820371
952,818496
953,820784
954,821406
955,818794
956,820332
957,817097
958,818897
959,818935
960,821253
961,820333
962,818211
963,820799
964,819797
965,819816
966,818013
967,820523
968,821183
969,820848
970,818472
971,818005
972,819800
973,819797
974,820574
975,820187
976,819508
977,819788
978,819453
979,820688
980,818061
981,819579
982,820548
983,821251
984,819226
985,820928
986,821184
987,821808
988,819734
989,819087
990,819732
991,819555
992,819829
993,820801
994,820397
995,819003
996,821445
997,819761
998,821009
999,819882
1000,820562
1001,820727
1002,820395
1003,820240
1004,822095
1005,820448
1006,820386
1007,820124
1008,818571
1009,820099
1010,819791
1011,820423
1012,820665
1013,820233
1014,818658
1015,817895
1016,820820
1017,821768
1018,819123
1019,819870
1020,818790
1021,820789
1022,820370
1023,819527
